longitude,latitude,precipitation
-94.99999999975999,49.333333333328,482.84198
-94.791666666425,49.291666666661,492.817
-94.99999999975999,49.249999999994,448.2479
-94.791666666425,49.208333333327005,466.7299
-94.99999999975999,49.16666666666,463.24588
-94.791666666425,49.124999999993,460.86798
-94.99999999975999,49.083333333326,482.69098
-122.708333333315,49.041666666659005,1506.015
-122.291666666645,49.041666666659005,1553.943
-121.874999999975,49.041666666659005,2338.106
-121.45833333330499,49.041666666659005,2916.4607
-121.041666666635,49.041666666659005,1411.2938
-120.624999999965,49.041666666659005,1468.2329
-120.208333333295,49.041666666659005,1945.177
-119.791666666625,49.041666666659005,468.707
-119.374999999955,49.041666666659005,554.4239
-118.958333333285,49.041666666659005,405.0189
-118.541666666615,49.041666666659005,614.13196
-118.124999999945,49.041666666659005,721.25586
-117.708333333275,49.041666666659005,854.308
-117.291666666605,49.041666666659005,703.47687
-116.874999999935,49.041666666659005,1558.6909
-116.458333333265,49.041666666659005,566.519
-115.624999999925,49.041666666659005,652.9109
-115.208333333255,49.041666666659005,332.352
-114.791666666585,49.041666666659005,1256.4438
-114.37499999991499,49.041666666659005,1067.449
-113.958333333245,49.041666666659005,1409.6199
-113.124999999905,49.041666666659005,401.5189
-112.708333333235,49.041666666659005,293.7999
-112.29166666656499,49.041666666659005,316.8159
-111.874999999895,49.041666666659005,311.10498
-111.458333333225,49.041666666659005,319.44098
-111.041666666555,49.041666666659005,316.512
-110.624999999885,49.041666666659005,271.673
-110.208333333215,49.041666666659005,270.1649
-109.791666666545,49.041666666659005,253.58089
-109.374999999875,49.041666666659005,261.7309
-108.95833333320499,49.041666666659005,292.1979
-108.541666666535,49.041666666659005,271.53488
-108.124999999865,49.041666666659005,260.56198
-107.708333333195,49.041666666659005,257.76288
-107.291666666525,49.041666666659005,263.92398
-106.87499999985499,49.041666666659005,247.7929
-106.458333333185,49.041666666659005,260.585
-106.041666666515,49.041666666659005,242.629
-105.624999999845,49.041666666659005,237.6969
-105.208333333175,49.041666666659005,290.3939
-104.791666666505,49.041666666659005,359.05188
-104.374999999835,49.041666666659005,276.285
-103.958333333165,49.041666666659005,233.06499
-103.54166666649499,49.041666666659005,227.5629
-103.124999999825,49.041666666659005,232.8319
-102.708333333155,49.041666666659005,231.638
-102.291666666485,49.041666666659005,245.09889
-101.874999999815,49.041666666659005,319.751
-101.45833333314499,49.041666666659005,324.19098
-101.041666666475,49.041666666659005,356.317
-100.624999999805,49.041666666659005,376.57098
-100.208333333135,49.041666666659005,398.73688
-99.791666666465,49.041666666659005,321.19998
-99.374999999795,49.041666666659005,322.5679
-98.958333333125,49.041666666659005,371.15988
-98.541666666455,49.041666666659005,380.49188
-98.12499999978499,49.041666666659005,397.4289
-97.708333333115,49.041666666659005,374.71588
-97.291666666445,49.041666666659005,463.28598
-96.874999999775,49.041666666659005,552.0359
-96.458333333105,49.041666666659005,531.381
-96.04166666643499,49.041666666659005,568.134
-95.624999999765,49.041666666659005,538.469
-95.208333333095,49.041666666659005,473.97787
-94.791666666425,49.041666666659005,442.5119
-122.49999999998,48.999999999992,1519.1859
-122.08333333331,48.999999999992,2051.143
-121.66666666664,48.999999999992,2489.7249
-121.24999999997,48.999999999992,3490.8728
-120.8333333333,48.999999999992,1767.101
-120.41666666663,48.999999999992,1898.6467
-119.99999999996,48.999999999992,702.43896
-119.58333333329,48.999999999992,313.633
-119.16666666662,48.999999999992,485.32388
-118.74999999995,48.999999999992,475.71487
-118.33333333328,48.999999999992,607.618
-117.91666666661,48.999999999992,804.13586
-117.49999999994,48.999999999992,827.6529
-117.08333333327,48.999999999992,1509.417
-116.6666666666,48.999999999992,997.29987
-116.24999999993,48.999999999992,852.92896
-115.83333333326,48.999999999992,636.82
-115.41666666659,48.999999999992,1169.3668
-114.99999999991999,48.999999999992,951.38385
-114.58333333325,48.999999999992,1396.184
-114.16666666658,48.999999999992,2099.008
-113.74999999991,48.999999999992,1375.5809
-113.33333333324,48.999999999992,341.67688
-112.91666666657,48.999999999992,326.457
-112.4999999999,48.999999999992,298.3829
-112.08333333323,48.999999999992,302.8779
-111.66666666656,48.999999999992,317.0789
-111.24999999989,48.999999999992,341.4029
-110.83333333322,48.999999999992,283.727
-110.41666666655,48.999999999992,259.24588
-109.99999999988,48.999999999992,265.695
-109.58333333320999,48.999999999992,249.0069
-109.16666666654,48.999999999992,275.349
-108.74999999987,48.999999999992,276.2639
-108.3333333332,48.999999999992,262.063
-107.91666666653,48.999999999992,260.4389
-107.49999999986,48.999999999992,250.25899
-107.08333333319,48.999999999992,260.258
-106.66666666652,48.999999999992,268.912
-106.24999999984999,48.999999999992,259.1909
-105.83333333318,48.999999999992,233.306
-105.41666666651,48.999999999992,273.9719
-104.99999999984,48.999999999992,277.9739
-104.58333333317,48.999999999992,268.23288
-104.16666666649999,48.999999999992,249.1729
-103.74999999983,48.999999999992,234.273
-103.33333333316,48.999999999992,237.9159
-102.91666666649,48.999999999992,240.71889
-102.49999999982,48.999999999992,244.65999
-102.08333333315,48.999999999992,274.327
-101.66666666648,48.999999999992,332.9169
-101.24999999981,48.999999999992,360.4559
-100.83333333313999,48.999999999992,362.94998
-100.41666666647,48.999999999992,426.21698
-99.9999999998,48.999999999992,370.2869
-99.58333333313,48.999999999992,332.2409
-99.16666666646,48.999999999992,349.5209
-98.74999999978999,48.999999999992,389.413
-98.33333333312,48.999999999992,381.4629
-97.91666666645,48.999999999992,365.5119
-97.49999999978,48.999999999992,394.125
-97.08333333311,48.999999999992,473.482
-96.66666666644,48.999999999992,549.211
-96.24999999977,48.999999999992,533.692
-95.8333333331,48.999999999992,544.0249
-95.41666666642999,48.999999999992,506.2519
-94.99999999975999,48.999999999992,466.597
-122.708333333315,48.958333333325,1368.6118
-122.291666666645,48.958333333325,1321.403
-121.874999999975,48.958333333325,2843.5627
-121.45833333330499,48.958333333325,2923.98
-121.041666666635,48.958333333325,1693.888
-120.624999999965,48.958333333325,1259.105
-120.208333333295,48.958333333325,1515.788
-119.791666666625,48.958333333325,503.5369
-119.374999999955,48.958333333325,369.2279
-118.958333333285,48.958333333325,458.826
-118.541666666615,48.958333333325,554.316
-118.124999999945,48.958333333325,708.18396
-117.708333333275,48.958333333325,601.6039
-117.291666666605,48.958333333325,751.9709
-116.874999999935,48.958333333325,1477.7489
-116.458333333265,48.958333333325,546.97687
-116.041666666595,48.958333333325,991.4469
-115.624999999925,48.958333333325,560.013
-115.208333333255,48.958333333325,342.03998
